year,team_name,team_id,opponent_name,opponent_id,game_date,team_score,opponent_score,location,neutral_site_location,game_length,attendance
2011,Middlebury,420,Manchester,1192,03/26/2011,6,0,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Tufts,717,03/26/2011,4,5,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Cornell College,166,03/27/2011,2,5,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Oberlin,515,03/27/2011,11,0,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Oberlin,515,03/29/2011,9,1,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Franklin,2694,03/29/2011,10,1,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Cornell College,166,03/30/2011,8,2,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Franklin,2694,03/30/2011,9,0,Neutral,"Clermont, FL",2 Innings,50
2011,Middlebury,420,Wesleyan (CT),764,04/02/2011,2,1,Away,,2 Innings,200
2011,Middlebury,420,Wesleyan (CT),764,04/02/2011,8,0,Away,,2 Innings,200
2011,Middlebury,420,Wesleyan (CT),764,04/03/2011,0,8,Away,,2 Innings,75
2011,Middlebury,420,Rensselaer,570,04/06/2011,4,5,Home,,2 Innings,50
2011,Middlebury,420,Rensselaer,570,04/06/2011,3,2,Home,,2 Innings,50
2011,Middlebury,420,Williams,789,04/08/2011,5,0,Home,,2 Innings,50
2011,Middlebury,420,Williams,789,04/09/2011,13,2,Home,,2 Innings,75
2011,Middlebury,420,Williams,789,04/09/2011,5,1,Home,,2 Innings,75
2011,Middlebury,420,Castleton,123,04/13/2011,6,0,Away,,2 Innings,30
2011,Middlebury,420,Castleton,123,04/13/2011,7,0,Away,,2 Innings,30
2011,Middlebury,420,Hamilton,267,04/15/2011,6,0,Away,,2 Innings,47
2011,Middlebury,420,Hamilton,267,04/16/2011,14,2,Away,,2 Innings,37
2011,Middlebury,420,Hamilton,267,04/16/2011,16,0,Away,,2 Innings,37
2011,Middlebury,420,Lyndon St.,30065,04/19/2011,8,0,Home,,2 Innings,55
2011,Middlebury,420,Lyndon St.,30065,04/19/2011,19,0,Home,,2 Innings,55
2011,Middlebury,420,Amherst,24,04/22/2011,3,2,Home,,2 Innings,120
2011,Middlebury,420,Amherst,24,04/22/2011,5,0,Home,,2 Innings,65
2011,Middlebury,420,Amherst,24,04/23/2011,8,0,Home,,2 Innings,85
2011,Middlebury,420,Plymouth St.,548,04/25/2011,3,2,Home,,2 Innings,50
2011,Middlebury,420,Plymouth St.,548,04/25/2011,3,0,Home,,2 Innings,50
2011,Middlebury,420,Skidmore,642,04/27/2011,2,0,Home,,2 Innings,50
2011,Middlebury,420,Skidmore,642,04/27/2011,1,3,Home,,2 Innings,50
2011,Middlebury,420,Union (NY),727,05/03/2011,2,3,Away,,2 Innings,50
2011,Middlebury,420,Union (NY),727,05/03/2011,6,4,Away,,2 Innings,50
2011,Middlebury,420,Trinity (CT),713,05/06/2011,2,1,Neutral,"Medford, MA",2 Innings,200
2011,Middlebury,420,Tufts,717,05/07/2011,2,0,Away,,2 Innings,250
2011,Middlebury,420,Tufts,717,05/08/2011,7,4,Home,,2 Innings,300
2011,Middlebury,420,Keuka,1159,05/12/2011,0,5,Neutral,"Ithaca, NY",2 Innings,0
2011,Middlebury,420,Centenary (NJ),12884,05/13/2011,9,1,Neutral,"Ithaca, NY",2 Innings,100
2011,Middlebury,420,St. John Fisher,601,05/14/2011,5,9,Neutral,"Ithaca, NY",2 Innings,100
2011,King's (PA),336,Dakota St.,,03/07/2011,7,4,Neutral,"Myrtle Beach, SC",2 Innings,25
2011,King's (PA),336,Bluefield St.,985,03/07/2011,11,0,Neutral,"Myrtle Beach, SC",2 Innings,25
2011,King's (PA),336,Penn St.-Harrisburg,30081,03/07/2011,17,0,Neutral,"Myrtle Beach, SC",2 Innings,0
2011,King's (PA),336,Southern Vt.,1379,03/08/2011,12,0,Neutral,"Myrtle Beach, SC",2 Innings,30
2011,King's (PA),336,Randolph,566,03/08/2011,1,8,Neutral,"Myrtle Beach, SC",2 Innings,25
2011,King's (PA),336,Capital,117,03/18/2011,2,4,Neutral,"Salisbury, MD",2 Innings,50
2011,King's (PA),336,Salisbury,622,03/18/2011,0,17,Away,,2 Innings,100
2011,King's (PA),336,Capital,117,03/19/2011,10,11,Neutral,"Salisbury, MD",2 Innings,105
2011,King's (PA),336,Manhattanville,382,03/30/2011,5,2,Home,,2 Innings,50
2011,King's (PA),336,Manhattanville,382,03/30/2011,0,2,Home,,2 Innings,50
2011,King's (PA),336,Wilkes,784,04/03/2011,8,0,Home,,2 Innings,115
2011,King's (PA),336,Wilkes,784,04/03/2011,10,3,Home,,2 Innings,115
2011,King's (PA),336,FDU-Florham,221,04/06/2011,5,6,Away,,2 Innings,78
2011,King's (PA),336,FDU-Florham,221,04/06/2011,9,1,Away,,2 Innings,43
2011,King's (PA),336,Misericordia,16142,04/09/2011,0,8,Away,,2 Innings,200
2011,King's (PA),336,Misericordia,16142,04/09/2011,13,0,Away,,2 Innings,150
2011,King's (PA),336,Eastern,8968,04/16/2011,1,5,Home,,2 Innings,75
2011,King's (PA),336,SUNY Oneonta,526,04/18/2011,7,3,Home,,2 Innings,35
2011,King's (PA),336,SUNY Oneonta,526,04/18/2011,5,7,Home,,2 Innings,35
2011,King's (PA),336,DeSales,20,04/21/2011,8,2,Away,,2 Innings,70
2011,King's (PA),336,DeSales,20,04/21/2011,4,3,Away,,2 Innings,70
2011,King's (PA),336,Eastern,8968,04/26/2011,4,5,Home,,2 Innings,35
2011,King's (PA),336,Delaware Valley,179,04/30/2011,1,3,Away,,2 Innings,0
2011,King's (PA),336,Delaware Valley,179,04/30/2011,8,0,Away,,2 Innings,85
2011,King's (PA),336,Centenary (NJ),12884,05/03/2011,9,2,Home,,2 Innings,30
2011,King's (PA),336,Centenary (NJ),12884,05/03/2011,8,2,Home,,2 Innings,35
2011,King's (PA),336,DeSales,20,05/06/2011,4,2,Away,,2 Innings,135
2011,King's (PA),336,FDU-Florham,221,05/06/2011,2,1,Away,,2 Innings,125
2011,King's (PA),336,Manhattanville,382,05/07/2011,10,2,Home,,2 Innings,125
2011,King's (PA),336,Staten Island,675,05/13/2011,8,1,Neutral,"Cortland, NY",2 Innings,75
2011,King's (PA),336,SUNY Cortland,168,05/13/2011,2,10,Away,,2 Innings,225
2011,King's (PA),336,Piedmont,21830,05/14/2011,1,5,Neutral,"Cortland, NY",2 Innings,250
2011,Knox,337,Fitchburg St.,227,03/15/2011,5,3,Neutral,"Clermont, FL",2 Innings,45
2011,Knox,337,Mount Ida,27901,03/15/2011,3,10,Neutral,"Clermont, FL",2 Innings,0
2011,Knox,337,Macalester,376,03/16/2011,1,6,Neutral,"Clermont, FL",2 Innings,40
2011,Knox,337,Fitchburg St.,227,03/16/2011,2,1,Neutral,"Clermont, FL",2 Innings,45
2011,Knox,337,Bates,50,03/18/2011,0,12,Neutral,"Clermont, FL",2 Innings,0
2011,Knox,337,Keene St.,330,03/18/2011,3,11,Neutral,"Clermont, FL",2 Innings,0
