year,team_name,team_id,opponent_name,opponent_id,game_date,team_score,opponent_score,location,neutral_site_location,game_length,attendance
2017,A&M-Corpus Christi,26172,Iowa,312,02/10/2017,0,8,Neutral,"San Marcos, Texas",-,218
2017,A&M-Corpus Christi,26172,Texas Tech,700,02/10/2017,0,7,Neutral,"San Marcos, Texas",-,833
2017,A&M-Corpus Christi,26172,Abilene Christian,2,02/11/2017,0,10,Neutral,"San Marcos, Texas",-,893
2017,A&M-Corpus Christi,26172,Texas St.,670,02/11/2017,0,8,Away,,-,990
2017,A&M-Corpus Christi,26172,Texas Tech,700,02/12/2017,2,0,Neutral,"San Marcos, Texas",-,0
2017,A&M-Corpus Christi,26172,Texas Southern,699,02/15/2017,1,0,Away,,-,158
2017,A&M-Corpus Christi,26172,Texas Southern,699,02/15/2017,2,4,Away,,-,0
2017,A&M-Corpus Christi,26172,Tennessee Tech,692,02/24/2017,0,2,Neutral,"Mobile, Ala.",-,0
2017,A&M-Corpus Christi,26172,South Ala.,646,02/24/2017,0,7,Away,,-,529
2017,A&M-Corpus Christi,26172,Middle Tenn.,419,02/25/2017,0,4,Neutral,"Mobile, Ala.",-,0
2017,A&M-Corpus Christi,26172,Tennessee Tech,692,02/25/2017,3,4,Neutral,"Mobile, Ala.",-,0
2017,A&M-Corpus Christi,26172,Middle Tenn.,419,02/26/2017,1,2,Neutral,"Mobile, Ala.",-,0
2017,A&M-Corpus Christi,26172,UTSA,706,03/01/2017,3,2,Away,,-,165
2017,A&M-Corpus Christi,26172,North Dakota St.,493,03/03/2017,4,2,Neutral,"Lafayette, LA",-,0
2017,A&M-Corpus Christi,26172,Alcorn,17,03/04/2017,7,6,Neutral,"Lafayette, La.",-,0
2017,A&M-Corpus Christi,26172,Louisiana,671,03/04/2017,0,8,Away,,-,"1,915"
2017,A&M-Corpus Christi,26172,North Dakota St.,493,03/05/2017,0,4,Neutral,"Lafayette, La.",-,0
2017,A&M-Corpus Christi,26172,Louisiana,671,03/05/2017,0,18,Away,,-,0
2017,A&M-Corpus Christi,26172,Prairie View,553,03/08/2017,2,4,Home,,-,125
2017,A&M-Corpus Christi,26172,Prairie View,553,03/08/2017,0,1,Home,,-,125
2017,A&M-Corpus Christi,26172,Southeastern La.,655,03/17/2017,1,2,Away,,-,241
2017,A&M-Corpus Christi,26172,Southeastern La.,655,03/18/2017,1,5,Away,,-,136
2017,A&M-Corpus Christi,26172,Southeastern La.,655,03/18/2017,3,4,Away,,-,136
2017,A&M-Corpus Christi,26172,Northwestern St.,508,03/24/2017,1,12,Home,,-,182
2017,A&M-Corpus Christi,26172,Northwestern St.,508,03/24/2017,2,3,Home,,-,172
